timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1564607819321,110,Bing Search HTTP Request,200,OK,Bing Thread Group 2-2,text,true,,112530,116,3,6,http://www.bing.com/,103,0,42
1564607819299,155,Bing Search HTTP Request,200,OK,Bing Thread Group 2-1,text,true,,112530,116,2,5,http://www.bing.com/,124,0,63
1564607819300,175,Google Search HTTP Request,200,OK,Google Thread Group 1-2,text,true,,12662,118,4,5,http://www.google.com/,174,0,95
1564607819299,183,Google Search HTTP Request,200,OK,Google Thread Group 1-1,text,true,,12657,118,3,4,http://www.google.com/,182,0,95
1564607819377,125,Google Search HTTP Request,200,OK,Google Thread Group 1-3,text,true,,12653,118,2,3,http://www.google.com/,124,0,40
1564607819426,95,Bing Search HTTP Request,200,OK,Bing Thread Group 2-3,text,true,,112530,116,2,3,http://www.bing.com/,52,0,5
1564607819522,71,Bing Search HTTP Request,200,OK,Bing Thread Group 2-4,text,true,,112530,116,1,3,http://www.bing.com/,51,0,3
1564607819476,119,Google Search HTTP Request,200,OK,Google Thread Group 1-4,text,true,,12664,118,2,3,http://www.google.com/,118,0,42
1564607819622,76,Bing Search HTTP Request,200,OK,Bing Thread Group 2-5,text,true,,112530,116,1,3,http://www.bing.com/,51,0,3
1564607819575,130,Google Search HTTP Request,200,OK,Google Thread Group 1-5,text,true,,12655,118,2,2,http://www.google.com/,129,0,42
1564607819720,68,Bing Search HTTP Request,200,OK,Bing Thread Group 2-6,text,true,,112530,116,1,3,http://www.bing.com/,47,0,3
1564607819677,126,Google Search HTTP Request,200,OK,Google Thread Group 1-6,text,true,,12640,118,2,2,http://www.google.com/,125,0,39
1564607819820,70,Bing Search HTTP Request,200,OK,Bing Thread Group 2-7,text,true,,112530,116,1,3,http://www.bing.com/,50,0,3
1564607819775,116,Google Search HTTP Request,200,OK,Google Thread Group 1-7,text,true,,12619,118,2,2,http://www.google.com/,115,0,39
1564607819921,67,Bing Search HTTP Request,200,OK,Bing Thread Group 2-8,text,true,,112530,116,1,3,http://www.bing.com/,46,0,2
1564607819875,117,Google Search HTTP Request,200,OK,Google Thread Group 1-8,text,true,,12657,118,2,2,http://www.google.com/,116,0,40
1564607820020,69,Bing Search HTTP Request,200,OK,Bing Thread Group 2-9,text,true,,112530,116,1,3,http://www.bing.com/,48,0,3
1564607819975,122,Google Search HTTP Request,200,OK,Google Thread Group 1-9,text,true,,12679,118,2,2,http://www.google.com/,121,0,42
1564607820121,66,Bing Search HTTP Request,200,OK,Bing Thread Group 2-10,text,true,,112530,116,1,3,http://www.bing.com/,46,0,2
1564607820075,117,Google Search HTTP Request,200,OK,Google Thread Group 1-10,text,true,,12666,118,2,2,http://www.google.com/,116,0,38
1564607820221,67,Bing Search HTTP Request,200,OK,Bing Thread Group 2-11,text,true,,112530,116,1,3,http://www.bing.com/,47,0,3
1564607820174,122,Google Search HTTP Request,200,OK,Google Thread Group 1-11,text,true,,12664,118,2,2,http://www.google.com/,121,0,39
1564607820319,68,Bing Search HTTP Request,200,OK,Bing Thread Group 2-12,text,true,,112530,116,1,3,http://www.bing.com/,48,0,3
1564607820276,121,Google Search HTTP Request,200,OK,Google Thread Group 1-12,text,true,,12673,118,2,2,http://www.google.com/,120,0,38
1564607820420,70,Bing Search HTTP Request,200,OK,Bing Thread Group 2-13,text,true,,112530,116,1,3,http://www.bing.com/,50,0,4
1564607820377,121,Google Search HTTP Request,200,OK,Google Thread Group 1-13,text,true,,13618,118,2,2,http://www.google.com/,120,0,43
1564607820520,67,Bing Search HTTP Request,200,OK,Bing Thread Group 2-14,text,true,,112530,116,1,3,http://www.bing.com/,47,0,3
